3	3	2371
4	3	2818
4	3	3032
4	4	3540
3	1	1249
3	3	1800
4	2	1603
3	2	1450
4	3	3360
3	2	1323
3	2	1750
3	2	1400
2	2	1257
3	2	1400
3	2	1600
4	3	1794
4	2	1850
3	3	2950
3	2	1719
3	3	1472
4	3	4168
3	3	3880
2	1	1000
3	2	1139
3	1	1080
4	3	2000
3	4	1920
4	2	1348
3	2	1280
3	2	2400
3	3	1700
3	2	1600
3	2	1050
3	2	1415
3	1	1110
2	1	797
2	2	1100
3	3	2602
4	3	2351
3	3	1350
4	2	1206
3	3	2628
3	3	2365
3	3	2990
3	2	1750
4	5	5500
3	2	1852
3	2	2100
4	3	2580
4	2	1963
3	3	1900
3	3	1450
2	2	1000
4	3	6500
3	2	1218
2	2	893
3	3	2100
4	3	2341
4	2	2168
4	3	3032
3	2	1293
3	2	1200
3	4	2250
3	3	2430
3	3	2100
2	2	1550
3	3	1800
3	2	1218
2	1	768
4	2	1929
4	3	1877
3	2	1700
3	2	1080
4	3	2192
3	2	1296
7	5	2688
1	1	900
4	2	1482
3	2	1726
3	2	1486
4	2	1543
4	2	1367
1	1	712
3	2	1040
3	2	1456
2	1	811
3	3	1951
4	4	3100
3	2	2117
3	2	1560
3	1	1042
3	3	1519
3	2	2774
3	2	1340
3	2	1440
5	2	1064
3	2	2145
3	2	1472
3	1	888
3	3	1582
3	2	1680
3	3	1702
0	1	398
4	3	1940
3	2	1200
3	3	2013
2	1	1267
3	1	1100
2	3	1389
4	4	3387
4	3	3305
4	5	4229
4	3	3676
3	2	1458
2	2	1020
4	3	2513
4	3	2800
3	2	2000
3	2	1316
3	2	1220
3	3	1780
3	3	2120
5	3	2947
4	2	2135
4	4	1872
4	5	3400
4	3	3113
2	1	827
2	2	1500
3	2	1270
4	3	1857
1	1	538
2	2	1223
2	2	1223
3	2	1746
3	2	2092
4	2	2000
2	1	750
2	3	1650
2	2	797
3	3	2266
3	2	1280
3	2	1092
3	2	1509
3	3	1793
3	2	1705
2	3	2100
3	2	1582
3	2	1470
3	2	1424
4	3	2277
4	2	3368
3	2	1458
2	3	1749
3	3	1996
3	2	1008
4	2	1527
3	2	1440
3	2	1815
4	2	2064
5	4	2402
3	3	2136
3	2	1498
2	1	1068
2	1	634
4	4	3000
3	2	1218
3	3	1300
4	3	2014
2	2	1463
2	2	1541
3	2	1268
5	4	2400
1	1	551
3	2	1420
5	3	2764
2	2	1014
3	2	1120
3	3	3400
3	2	1386
3	2	1320
3	2	1376
3	3	2586
3	2	1662
2	2	1033
3	1	1050
3	2	1500
5	3	2500
2	2	896
2	2	896
2	2	896
2	2	896
2	2	896
2	2	1388
4	3	3120
3	3	1352
4	3	1963
3	3	1541
4	3	2449
4	2	1660
3	1	936
5	7	6800
3	2	1022
3	2	1665
3	2	1209
3	2	1700
4	2	1736
1	1	731
3	2	1086
3	2	1131
3	3	1500
4	3	3827
2	1	1100
3	2	1398
3	2	1381
4	4	3387
2	1	1250
3	1	965
4	2	1860
4	5	5411
3	2	1367
3	2	1640
3	2	1269
3	2	1275
3	1	912
4	2	1460
2	2	2000
4	2	1750
4	4	3050
4	3	2371
2	2	1292
3	2	1640
2	2	1082
3	2	1522
3	2	1535
2	2	1100
2	2	966
4	2	1653
3	3	2523
3	3	2511
3	3	1772
3	3	1889
2	2	880
3	2	1400
3	3	1494
3	2	1844
4	3	1900
3	2	1176
3	5	4463
3	2	1635
3	3	2095
3	2	1300
3	2	1200
0	1	910
3	2	1600
4	2	1332
2	2	1680
2	1	1313
4	4	3744
3	2	1998
3	3	2714
4	2	1797
3	3	1687
3	2	1663
2	1	792
2	2	1410
2	2	1085
3	3	1900
4	3	3305
4	4	3962
2	3	1260
2	3	1200
3	3	2400
3	3	1265
4	2	1460
3	3	1894
3	3	1800
3	2	1550
2	2	1426
3	2	1110
3	2	1075
3	2	1756
3	3	2150
4	2	1650
2	2	1200
3	2	1488
4	4	3609
2	2	1113
3	2	1600
4	2	1961
3	3	3249
3	3	1510
3	2	1300
3	3	1736
4	3	3008
3	2	1850
3	2	1146
2	2	1100
4	4	2135
4	4	2135
3	2	1827
3	1	1005
2	3	1800
5	3	3307
3	3	2160
3	2	1062
4	2	1102
3	2	1215
3	2	1600
4	2	2161
3	2	1686
2	1	1000
3	3	2600
5	3	3150
4	2	1257
3	2	1171
3	2	1144
2	1	1160
4	3	2300
3	2	1144
3	2	1368
3	2	1238
3	1	1056
2	2	1086
2	1	720
3	2	1426
4	2	1361
3	3	2344
4	2	1925
4	3	2600
4	2	1601
3	2	1395
2	2	1042
3	2	1200
2	2	1248
4	3	3000
3	2	1300
3	2	1244
4	2	2139
4	3	2450
2	2	840
4	3	1878
3	2	1350
4	2	1377
3	3	1475
2	2	894
3	2	1550
3	2	1106
1	1	594
5	3	3200
3	2	1906
3	2	2004
3	1	1200
5	3	1818
2	2	1040
4	2	1400
4	3	2209
3	1	1030
3	2	1999
3	2	1316
